"ID_W9","SwitchedToRandom","Open_Comments","Open_Comments_W","comment","empty_like","comment_scale","scale_label"
300643850823924,"1","Zu politisch","Nein","zu politisch",FALSE,2,"2 = content-focused"
300643850919008,"1","ja, es gab unterschiedliche Beiträge mir unterschiedlichen Meinungen","nein, alles ok","ja, es gab unterschiedliche beiträge mir unterschiedlichen meinungen",FALSE,3,"3 = other/unclear"
300643850923110,"1","Da ist nichts dabei gewesen das ich teilen oder liken würde","nein","da ist nichts dabei gewesen das ich teilen oder liken würde",FALSE,2,"2 = content-focused"
300643851248810,"1","einige mit politischem inhalt","nein ist halt eine video plattform","einige mit politischem inhalt",FALSE,2,"2 = content-focused"
300643851293926,"1","nur mist","völliger schwachsinn","nur mist",FALSE,2,"2 = content-focused"
300644054577239,"","Nichts für mich.","","nichts für mich.",FALSE,2,"2 = content-focused"
300644054578273,"","Nie wieder","","nie wieder",FALSE,3,"3 = other/unclear"
300644054578281,"","wahlkampf ist immer tendentiös","","wahlkampf ist immer tendentiös",FALSE,3,"3 = other/unclear"
300644054578288,"","Kam mir vor wie auf jeder anderen Plattform.","","kam mir vor wie auf jeder anderen plattform.",FALSE,1,"1 = platform-focused"
300644054578294,"1","Alles ok","Alles ok","alles ok",FALSE,3,"3 = other/unclear"
300644054578300,"","einige Videos sind nervig","","einige videos sind nervig",FALSE,2,"2 = content-focused"
300644054578302,"","alles etwas durcheinander und zuviel von allem","","alles etwas durcheinander und zuviel von allem",FALSE,2,"2 = content-focused"
300644054578304,"","Die Plattform war Quatsch","","die plattform war quatsch",FALSE,1,"1 = platform-focused"
300644054578305,"","Gääähn","","gääähn",FALSE,2,"2 = content-focused"
300644054578306,"1","ganz üble Mischung :D","","ganz üble mischung :d",FALSE,3,"3 = other/unclear"
300644054578307,"1","viel bla bla","viel bla bla","viel bla bla",FALSE,3,"3 = other/unclear"
300644054578311,"","Ne da war nichts besonderes","","ne da war nichts besonderes",FALSE,2,"2 = content-focused"
300644054578312,"1","es ist teilweise nicht erkennbar, wer konkret  der Verfasser ist","nein","es ist teilweise nicht erkennbar, wer konkret der verfasser ist",FALSE,3,"3 = other/unclear"
300644054578318,"","unerträglich","","unerträglich",FALSE,3,"3 = other/unclear"
300644054578321,"1","Ist nichts neues oder besonderes","Inhaltlich eher nicht mein Geschmack","ist nichts neues oder besonderes",FALSE,2,"2 = content-focused"
300644054578346,"","csu dobrindt war in dauerschleife","","csu dobrindt war in dauerschleife",FALSE,3,"3 = other/unclear"
300644054579200,"","Viele sinnlose und unnütze Videos","","viele sinnlose und unnütze videos",FALSE,2,"2 = content-focused"
300644054579374,"","zeitverschwendung","","zeitverschwendung",FALSE,2,"2 = content-focused"
300644054579376,"","Das interessiert mich nicht","","das interessiert mich nicht",FALSE,3,"3 = other/unclear"
300644054579377,"","Keine Videos die mich so wirklich interessiert haben, ich bin hier nicht die richtige Zielgruppe","","keine videos die mich so wirklich interessiert haben, ich bin hier nicht die richtige zielgruppe",FALSE,2,"2 = content-focused"
